Frequency (Hz),Angle of attack (deg),Chord length (m),Free-stream velocity (m/s),suction side displacement thickness (m),Scaled sound pressure levels (dec)
630,3.0,0.3048,71.3,0.00425727,129.354
800,3.0,0.3048,71.3,0.00425727,129.494
1000,3.0,0.3048,71.3,0.00425727,129.004
1250,3.0,0.3048,71.3,0.00425727,127.634
1600,3.0,0.3048,71.3,0.00425727,126.514
2000,3.0,0.3048,71.3,0.00425727,125.524
2500,3.0,0.3048,71.3,0.00425727,124.024
3150,3.0,0.3048,71.3,0.00425727,121.514
4000,3.0,0.3048,71.3,0.00425727,120.264
5000,3.0,0.3048,71.3,0.00425727,118.134
6300,3.0,0.3048,71.3,0.00425727,116.134
8000,3.0,0.3048,71.3,0.00425727,114.634
10000,3.0,0.3048,71.3,0.00425727,110.224
400,3.0,0.3048,55.5,0.00452492,126.159
500,3.0,0.3048,55.5,0.00452492,128.179
630,3.0,0.3048,55.5,0.00452492,129.569
800,3.0,0.3048,55.5,0.00452492,129.949
1000,3.0,0.3048,55.5,0.00452492,129.329
1250,3.0,0.3048,55.5,0.00452492,127.329
1600,3.0,0.3048,55.5,0.00452492,124.439
2000,3.0,0.3048,55.5,0.00452492,123.069
2500,3.0,0.3048,55.5,0.00452492,122.439
3150,3.0,0.3048,55.5,0.00452492,120.189
4000,3.0,0.3048,55.5,0.00452492,118.689
5000,3.0,0.3048,55.5,0.00452492,117.309
6300,3.0,0.3048,55.5,0.00452492,115.679
8000,3.0,0.3048,55.5,0.00452492,113.799
10000,3.0,0.3048,55.5,0.00452492,112.169
315,3.0,0.3048,39.6,0.00495741,123.312
400,3.0,0.3048,39.6,0.00495741,125.472
500,3.0,0.3048,39.6,0.00495741,127.632
630,3.0,0.3048,39.6,0.00495741,129.292
800,3.0,0.3048,39.6,0.00495741,129.552
1000,3.0,0.3048,39.6,0.00495741,128.312
1250,3.0,0.3048,39.6,0.00495741,125.802
1600,3.0,0.3048,39.6,0.00495741,122.782
2000,3.0,0.3048,39.6,0.00495741,120.532
2500,3.0,0.3048,39.6,0.00495741,120.162
3150,3.0,0.3048,39.6,0.00495741,118.922
4000,3.0,0.3048,39.6,0.00495741,116.792
5000,3.0,0.3048,39.6,0.00495741,115.792
6300,3.0,0.3048,39.6,0.00495741,114.042
8000,3.0,0.3048,39.6,0.00495741,110.652
315,3.0,0.3048,31.7,0.00529514,123.118
400,3.0,0.3048,31.7,0.00529514,125.398
500,3.0,0.3048,31.7,0.00529514,127.548
630,3.0,0.3048,31.7,0.00529514,128.698
800,3.0,0.3048,31.7,0.00529514,128.708
1000,3.0,0.3048,31.7,0.00529514,126.838
1250,3.0,0.3048,31.7,0.00529514,124.838
1600,3.0,0.3048,31.7,0.00529514,122.088
