Frequency (Hz),Angle of attack (deg),Chord length (m),Free-stream velocity (m/s),suction side displacement thickness (m),Scaled sound pressure levels (dec)
1600,7.3,0.2286,71.3,0.0104404,125.728
2000,7.3,0.2286,71.3,0.0104404,122.708
2500,7.3,0.2286,71.3,0.0104404,122.088
3150,7.3,0.2286,71.3,0.0104404,120.458
4000,7.3,0.2286,71.3,0.0104404,119.208
5000,7.3,0.2286,71.3,0.0104404,115.298
6300,7.3,0.2286,71.3,0.0104404,115.818
200,7.3,0.2286,55.5,0.0111706,135.234
250,7.3,0.2286,55.5,0.0111706,136.384
315,7.3,0.2286,55.5,0.0111706,136.284
400,7.3,0.2286,55.5,0.0111706,135.924
500,7.3,0.2286,55.5,0.0111706,133.174
630,7.3,0.2286,55.5,0.0111706,130.934
800,7.3,0.2286,55.5,0.0111706,128.444
1000,7.3,0.2286,55.5,0.0111706,125.194
1250,7.3,0.2286,55.5,0.0111706,125.724
1600,7.3,0.2286,55.5,0.0111706,123.354
2000,7.3,0.2286,55.5,0.0111706,120.354
2500,7.3,0.2286,55.5,0.0111706,118.994
3150,7.3,0.2286,55.5,0.0111706,117.134
4000,7.3,0.2286,55.5,0.0111706,117.284
5000,7.3,0.2286,55.5,0.0111706,113.144
6300,7.3,0.2286,55.5,0.0111706,111.534
200,7.3,0.2286,39.6,0.0123481,130.989
250,7.3,0.2286,39.6,0.0123481,131.889
315,7.3,0.2286,39.6,0.0123481,132.149
400,7.3,0.2286,39.6,0.0123481,132.039
500,7.3,0.2286,39.6,0.0123481,130.299
630,7.3,0.2286,39.6,0.0123481,128.929
800,7.3,0.2286,39.6,0.0123481,126.299
1000,7.3,0.2286,39.6,0.0123481,122.539
1250,7.3,0.2286,39.6,0.0123481,123.189
1600,7.3,0.2286,39.6,0.0123481,121.059
2000,7.3,0.2286,39.6,0.0123481,117.809
2500,7.3,0.2286,39.6,0.0123481,116.559
3150,7.3,0.2286,39.6,0.0123481,114.309
4000,7.3,0.2286,39.6,0.0123481,114.079
5000,7.3,0.2286,39.6,0.0123481,111.959
6300,7.3,0.2286,39.6,0.0123481,110.839
200,7.3,0.2286,31.7,0.0132672,128.679
250,7.3,0.2286,31.7,0.0132672,130.089
315,7.3,0.2286,31.7,0.0132672,130.239
400,7.3,0.2286,31.7,0.0132672,130.269
500,7.3,0.2286,31.7,0.0132672,128.169
630,7.3,0.2286,31.7,0.0132672,126.189
800,7.3,0.2286,31.7,0.0132672,123.209
1000,7.3,0.2286,31.7,0.0132672,119.099
1250,7.3,0.2286,31.7,0.0132672,120.509
1600,7.3,0.2286,31.7,0.0132672,119.039
2000,7.3,0.2286,31.7,0.0132672,115.309
2500,7.3,0.2286,31.7,0.0132672,114.709
3150,7.3,0.2286,31.7,0.0132672,113.229
4000,7.3,0.2286,31.7,0.0132672,112.639
5000,7.3,0.2286,31.7,0.0132672,111.029
6300,7.3,0.2286,31.7,0.0132672,110.689
800,0.0,0.1524,71.3,0.0015988,125.817
1000,0.0,0.1524,71.3,0.0015988,127.307
1250,0.0,0.1524,71.3,0.0015988,128.927
1600,0.0,0.1524,71.3,0.0015988,129.667
2000,0.0,0.1524,71.3,0.0015988,128.647
2500,0.0,0.1524,71.3,0.0015988,128.127
3150,0.0,0.1524,71.3,0.0015988,129.377
4000,0.0,0.1524,71.3,0.0015988,128.857
5000,0.0,0.1524,71.3,0.0015988,126.457
6300,0.0,0.1524,71.3,0.0015988,125.427
8000,0.0,0.1524,71.3,0.0015988,122.527
10000,0.0,0.1524,71.3,0.0015988,120.247
12500,0.0,0.1524,71.3,0.0015988,117.087
16000,0.0,0.1524,71.3,0.0015988,113.297
500,0.0,0.1524,55.5,0.00172668,120.573
630,0.0,0.1524,55.5,0.00172668,123.583
800,0.0,0.1524,55.5,0.00172668,126.713
1000,0.0,0.1524,55.5,0.00172668,128.583
1250,0.0,0.1524,55.5,0.00172668,129.953
1600,0.0,0.1524,55.5,0.00172668,130.183
2000,0.0,0.1524,55.5,0.00172668,129.673
2500,0.0,0.1524,55.5,0.00172668,127.763
3150,0.0,0.1524,55.5,0.00172668,127.753
4000,0.0,0.1524,55.5,0.00172668,127.233
5000,0.0,0.1524,55.5,0.00172668,125.203
6300,0.0,0.1524,55.5,0.00172668,123.303
8000,0.0,0.1524,55.5,0.00172668,121.903
10000,0.0,0.1524,55.5,0.00172668,119.253
12500,0.0,0.1524,55.5,0.00172668,117.093
16000,0.0,0.1524,55.5,0.00172668,112.803
500,0.0,0.1524,39.6,0.00193287,119.513
630,0.0,0.1524,39.6,0.00193287,124.403
800,0.0,0.1524,39.6,0.00193287,127.903
1000,0.0,0.1524,39.6,0.00193287,130.033
1250,0.0,0.1524,39.6,0.00193287,131.023
1600,0.0,0.1524,39.6,0.00193287,131.013
2000,0.0,0.1524,39.6,0.00193287,129.633
2500,0.0,0.1524,39.6,0.00193287,126.863
3150,0.0,0.1524,39.6,0.00193287,125.603
4000,0.0,0.1524,39.6,0.00193287,125.343
5000,0.0,0.1524,39.6,0.00193287,123.453
6300,0.0,0.1524,39.6,0.00193287,121.313
8000,0.0,0.1524,39.6,0.00193287,120.553
10000,0.0,0.1524,39.6,0.00193287,115.413
500,0.0,0.1524,31.7,0.00209405,121.617
