time,CO
2004-03-19T02:00:00.0,999.0
2004-03-19T03:00:00.0,961.0
2004-03-19T04:00:00.0,934.0
2004-03-19T05:00:00.0,913.0
2004-03-19T06:00:00.0,969.0
2004-03-19T07:00:00.0,1182.0
2004-03-19T08:00:00.0,1740.0
2004-03-19T09:00:00.0,1819.0
2004-03-19T10:00:00.0,1427.0
2004-03-19T11:00:00.0,1390.0
2004-03-19T12:00:00.0,1283.0
2004-03-19T13:00:00.0,1304.0
2004-03-19T14:00:00.0,1364.0
2004-03-19T15:00:00.0,1410.0
2004-03-19T16:00:00.0,1476.0
2004-03-19T17:00:00.0,1522.0
2004-03-19T18:00:00.0,1442.0
2004-03-19T19:00:00.0,1469.0
2004-03-19T20:00:00.0,1467.0
2004-03-19T21:00:00.0,1421.0
2004-03-19T22:00:00.0,1175.0
2004-03-19T23:00:00.0,1215.0
2004-03-20T00:00:00.0,1127.0
2004-03-20T01:00:00.0,1090.0
2004-03-20T02:00:00.0,1017.0
2004-03-20T03:00:00.0,997.0
2004-03-20T04:00:00.0,945.0
2004-03-20T05:00:00.0,956.0
2004-03-20T06:00:00.0,966.0
2004-03-20T07:00:00.0,1064.0
2004-03-20T08:00:00.0,1300.0
2004-03-20T09:00:00.0,1348.0
2004-03-20T10:00:00.0,1425.0
2004-03-20T11:00:00.0,1474.0
2004-03-20T12:00:00.0,1490.0
2004-03-20T13:00:00.0,1495.0
2004-03-20T14:00:00.0,1376.0
2004-03-20T15:00:00.0,1305.0
2004-03-20T16:00:00.0,1283.0
2004-03-20T17:00:00.0,1392.0
2004-03-20T18:00:00.0,1452.0
2004-03-20T19:00:00.0,1633.0
2004-03-20T20:00:00.0,1625.0
2004-03-20T21:00:00.0,1535.0
2004-03-20T22:00:00.0,1323.0
2004-03-20T23:00:00.0,1309.0
2004-03-21T00:00:00.0,1456.0
2004-03-21T01:00:00.0,1300.0
2004-03-21T02:00:00.0,1203.0
2004-03-21T03:00:00.0,1195.0
2004-03-21T04:00:00.0,1117.0
2004-03-21T05:00:00.0,1062.0
2004-03-21T06:00:00.0,947.0
2004-03-21T07:00:00.0,1065.0
2004-03-21T08:00:00.0,1155.0
2004-03-21T09:00:00.0,1220.0
2004-03-21T10:00:00.0,1301.0
2004-03-21T11:00:00.0,1279.0
2004-03-21T12:00:00.0,1267.0
2004-03-21T13:00:00.0,1239.0
2004-03-21T14:00:00.0,1128.0
2004-03-21T15:00:00.0,1243.0
2004-03-21T16:00:00.0,1208.0
2004-03-21T17:00:00.0,1306.0
2004-03-21T18:00:00.0,1546.0
2004-03-21T19:00:00.0,1501.0
2004-03-21T20:00:00.0,1605.0
2004-03-21T21:00:00.0,1316.0
2004-03-21T22:00:00.0,1195.0
2004-03-21T23:00:00.0,1211.0
2004-03-22T00:00:00.0,1161.0
2004-03-22T01:00:00.0,1095.0
2004-03-22T02:00:00.0,897.0
2004-03-22T03:00:00.0,842.0
2004-03-22T04:00:00.0,854.0
2004-03-22T05:00:00.0,845.0
2004-03-22T06:00:00.0,942.0
2004-03-22T07:00:00.0,1090.0
2004-03-22T08:00:00.0,1514.0
2004-03-22T09:00:00.0,1379.0
2004-03-22T10:00:00.0,1074.0
2004-03-22T11:00:00.0,1090.0
2004-03-22T12:00:00.0,1110.0
2004-03-22T13:00:00.0,1102.0
2004-03-22T14:00:00.0,1100.0
2004-03-22T15:00:00.0,1094.0
2004-03-22T16:00:00.0,1076.0
2004-03-22T17:00:00.0,1152.0
2004-03-22T18:00:00.0,1407.0
2004-03-22T19:00:00.0,1438.0
2004-03-22T20:00:00.0,1425.0
2004-03-22T21:00:00.0,1279.0
2004-03-22T22:00:00.0,1132.0
2004-03-22T23:00:00.0,1006.0
2004-03-23T00:00:00.0,982.0
2004-03-23T01:00:00.0,969.0
2004-03-23T02:00:00.0,941.0
2004-03-23T03:00:00.0,892.0
2004-03-23T04:00:00.0,855.0
2004-03-23T05:00:00.0,834.0
2004-03-23T06:00:00.0,909.0
2004-03-23T07:00:00.0,1061.0
2004-03-23T08:00:00.0,1441.0
2004-03-23T09:00:00.0,1498.0
2004-03-23T10:00:00.0,1343.0
2004-03-23T11:00:00.0,1308.0
