time,CO
2004-03-10T18:00:00.0,1360.0
2004-03-10T19:00:00.0,1292.0
2004-03-10T20:00:00.0,1402.0
2004-03-10T21:00:00.0,1376.0
2004-03-10T22:00:00.0,1272.0
2004-03-10T23:00:00.0,1197.0
2004-03-11T00:00:00.0,1185.0
2004-03-11T01:00:00.0,1136.0
2004-03-11T02:00:00.0,1094.0
2004-03-11T03:00:00.0,1010.0
2004-03-11T04:00:00.0,1011.0
2004-03-11T05:00:00.0,1066.0
2004-03-11T06:00:00.0,1052.0
2004-03-11T07:00:00.0,1144.0
2004-03-11T08:00:00.0,1333.0
2004-03-11T09:00:00.0,1351.0
2004-03-11T10:00:00.0,1233.0
2004-03-11T11:00:00.0,1179.0
2004-03-11T12:00:00.0,1236.0
2004-03-11T13:00:00.0,1286.0
2004-03-11T14:00:00.0,1371.0
2004-03-11T15:00:00.0,1310.0
2004-03-11T16:00:00.0,1292.0
2004-03-11T17:00:00.0,1383.0
2004-03-11T18:00:00.0,1581.0
2004-03-11T19:00:00.0,1776.0
2004-03-11T20:00:00.0,1640.0
2004-03-11T21:00:00.0,1313.0
2004-03-11T22:00:00.0,965.0
2004-03-11T23:00:00.0,913.0
2004-03-12T00:00:00.0,1080.0
2004-03-12T01:00:00.0,1044.0
2004-03-12T02:00:00.0,988.0
2004-03-12T03:00:00.0,889.0
2004-03-12T04:00:00.0,831.0
2004-03-12T05:00:00.0,847.0
2004-03-12T06:00:00.0,927.0
2004-03-12T07:00:00.0,1091.0
2004-03-12T08:00:00.0,1587.0
2004-03-12T09:00:00.0,1545.0
2004-03-12T10:00:00.0,1350.0
2004-03-12T11:00:00.0,1263.0
2004-03-12T12:00:00.0,1206.0
2004-03-12T13:00:00.0,1252.0
2004-03-12T14:00:00.0,1287.0
2004-03-12T15:00:00.0,1353.0
2004-03-12T16:00:00.0,1309.0
2004-03-12T17:00:00.0,1274.0
2004-03-12T18:00:00.0,1510.0
2004-03-12T19:00:00.0,1525.0
2004-03-12T20:00:00.0,1843.0
2004-03-12T21:00:00.0,1598.0
2004-03-12T22:00:00.0,1484.0
